	artist	track	genre	time	days	date.peaked	week	rating	days_to_peak	rank
2346	Braxton, Toni	Just Be A Man About It	Rock	4.1	2000-07-29	2000-09-02	8	34	35 days 00:00:00.000000000	17
2347	Iglesias, Enrique	Rhythm Divine	Latin	7.35	1999-12-04	2000-01-22	8	32	49 days 00:00:00.000000000	19
2348	Fabian, Lara	I Will Love Again	Pop	3.43	2000-06-10	2000-08-12	8	40	63 days 00:00:00.000000000	11
2349	Bon Jovi	It's My Life	Rock	3.44	2000-08-12	2000-09-30	8	33	49 days 00:00:00.000000000	18
2350	Evans, Sara	Born To Fly	Country	5.36	2000-10-21	2000-12-30	8	44	70 days 00:00:00.000000000	7
2351	Chesney, Kenny	I Lost It	Country	3.54	2000-10-21	2000-12-23	8	47	63 days 00:00:00.000000000	4
2352	J-Shin	One Night Stand	R&B	4.34	1999-12-25	2000-02-26	8	45	63 days 00:00:00.000000000	6
2353	Eve	Love Is Blind	Rap	3.51	2000-01-08	2000-02-19	8	39	42 days 00:00:00.000000000	12
2354	Aaliyah	I Don't Wanna	Rock	4.15	2000-01-29	2000-03-04	8	38	35 days 00:00:00.000000000	13
2355	Montgomery, John Michael	The Little Girl	Country	3.52	2000-09-09	2000-10-28	8	35	49 days 00:00:00.000000000	16
2357	Vassar, Phil	Just Another Day In Paradise	Country	3.54	2000-09-30	2000-12-02	8	38	63 days 00:00:00.000000000	13
2358	Ice Cube	You Can Do It	Rap	4.2	1999-12-04	2000-01-15	8	46	42 days 00:00:00.000000000	5
2359	Wills, Mark	Back At One	Country	4.0	2000-01-15	2000-02-26	8	39	42 days 00:00:00.000000000	12
2360	Lucy Pearl	Dance Tonight	R&B	3.45	2000-05-20	2000-07-29	8	42	70 days 00:00:00.000000000	9
2361	Jackson, Alan	It Must Be Love	Country	2.53	2000-06-24	2000-09-02	8	39	70 days 00:00:00.000000000	12
2364	Jean, Wyclef	911	Rap	4.0	2000-10-07	2000-11-25	8	38	49 days 00:00:00.000000000	13
2366	Vitamin C	Graduation (Friends Forever)	Rock	4.23	2000-04-15	2000-06-10	8	40	56 days 00:00:00.000000000	11
2368	Lonestar	Smile	Country	3.33	1999-12-18	2000-02-12	8	42	56 days 00:00:00.000000000	9
2369	Rogers, Kenny	Buy Me A Rose	Country	3.46	2000-03-11	2000-05-06	8	43	56 days 00:00:00.000000000	8
2370	Lawrence, Tracy	Lessons Learned	Country	2.55	2000-01-29	2000-04-08	8	48	70 days 00:00:00.000000000	3
2371	Strait, George	Go On	Country	3.48	2000-08-26	2000-10-28	8	46	63 days 00:00:00.000000000	5
2372	Sisqo	Got To Get It	Rock	3.52	1999-11-20	2000-01-22	8	48	63 days 00:00:00.000000000	3
2374	Walker, Clay	The Chain Of Love	Country	5.03	2000-04-15	2000-06-10	8	43	56 days 00:00:00.000000000	8
2375	McBride, Martina	Love's The Only House	Country	5.13	2000-02-05	2000-04-15	8	48	70 days 00:00:00.000000000	3
2377	Tippin, Aaron	Kiss This	Country	2.53	2000-08-26	2000-10-21	8	45	56 days 00:00:00.000000000	6
2378	SheDaisy	I Will.. But	Country	3.4	2000-07-15	2000-09-16	8	47	63 days 00:00:00.000000000	4
2380	Black Rob	Whoa!	Rap	4.04	2000-03-04	2000-04-15	8	47	42 days 00:00:00.000000000	4
2382	Black, Clint	Been There	Country	5.28	2000-02-19	2000-04-15	8	47	56 days 00:00:00.000000000	4
2384	Vassar, Phil	Carlene	Country	4.07	2000-03-04	2000-04-22	8	45	49 days 00:00:00.000000000	6
2385	Jackson, Alan	www.memory	Country	2.36	2000-11-04	2000-12-23	8	45	49 days 00:00:00.000000000	6
2390	Ginuwine	None Of Ur Friends Business	Rock	4.12	1999-12-11	2000-01-22	8	48	42 days 00:00:00.000000000	3
2536	Destiny's Child	Independent Women Part I	Rock	3.38	2000-09-23	2000-11-18	9	1	56 days 00:00:00.000000000	50
2537	Santana	Maria, Maria	Rock	4.18	2000-02-12	2000-04-08	9	1	56 days 00:00:00.000000000	50
2538	Savage Garden	I Knew I Loved You	Rock	4.07	1999-10-23	2000-01-29	9	4	98 days 00:00:00.000000000	47
2539	Madonna	Music	Rock	3.45	2000-08-12	2000-09-16	9	1	35 days 00:00:00.000000000	50
2540	Aguilera, Christina	Come On Over Baby (All I Want Is You)	Rock	3.38	2000-08-05	2000-10-14	9	9	70 days 00:00:00.000000000	42
2541	Janet	Doesn't Really Matter	Rock	4.17	2000-06-17	2000-08-26	9	10	70 days 00:00:00.000000000	41
2542	Destiny's Child	Say My Name	Rock	4.31	1999-12-25	2000-03-18	9	16	84 days 00:00:00.000000000	35
2543	Iglesias, Enrique	Be With You	Latin	3.36	2000-04-01	2000-06-24	9	8	84 days 00:00:00.000000000	43
2544	Sisqo	Incomplete	Rock	3.52	2000-06-24	2000-08-12	9	1	49 days 00:00:00.000000000	50
2545	Lonestar	Amazed	Country	4.25	1999-06-05	2000-03-04	9	32	273 days 00:00:00.000000000	19
2546	N'Sync	It's Gonna Be Me	Rock	3.1	2000-05-06	2000-07-29	9	7	84 days 00:00:00.000000000	44
2547	Aguilera, Christina	What A Girl Wants	Rock	3.18	1999-11-27	2000-01-15	9	1	49 days 00:00:00.000000000	50
2548	Vertical Horizon	Everything You Want	Rock	4.01	2000-01-22	2000-07-15	9	22	175 days 00:00:00.000000000	29
2550	Aaliyah	Try Again	Rock	4.03	2000-03-18	2000-06-17	9	12	91 days 00:00:00.000000000	39
2551	matchbox twenty	Bent	Rock	4.12	2000-04-29	2000-07-22	9	13	84 days 00:00:00.000000000	38
2552	Carey, Mariah	Thank God I Found You	Rock	4.14	1999-12-11	2000-02-19	9	22	70 days 00:00:00.000000000	29
2553	Hill, Faith	Breathe	Rap	4.04	1999-11-06	2000-04-22	9	28	168 days 00:00:00.000000000	23
2554	Mya	Case Of The Ex (Whatcha Gonna Do)	Rock	3.5	2000-08-19	2000-12-02	9	17	105 days 00:00:00.000000000	34
2555	Dream	He Loves U Not	Rock	3.43	2000-09-30	2000-12-30	9	18	91 days 00:00:00.000000000	33
2556	Braxton, Toni	He Wasn't Man Enough	Rock	4.21	2000-03-18	2000-05-06	9	2	49 days 00:00:00.000000000	49
2557	Anthony, Marc	You Sang To Me	Latin	3.5	2000-02-26	2000-06-03	9	15	98 days 00:00:00.000000000	36
2558	98¡	Give Me Just One Night (Una Noche)	Rock	3.24	2000-08-19	2000-09-30	9	3	42 days 00:00:00.000000000	48
2559	Destiny's Child	Jumpin' Jumpin'	Rock	3.48	2000-05-13	2000-08-19	9	22	98 days 00:00:00.000000000	29
2561	Sisqo	Thong Song	Rock	4.05	2000-01-29	2000-05-20	9	13	112 days 00:00:00.000000000	38
2562	Aguilera, Christina	I Turn To You	Rock	4.0	2000-04-15	2000-07-01	9	17	77 days 00:00:00.000000000	34
2563	Houston, Whitney	My Love Is Your Love	Rock	4.16	1999-09-04	2000-01-08	9	8	126 days 00:00:00.000000000	43
2564	Joe	I Wanna Know	Rock	4.57	2000-01-01	2000-07-01	9	28	182 days 00:00:00.000000000	23
2565	Jordan, Montell	Get It On.. Tonite	Rap	4.34	1999-10-23	2000-02-12	9	38	112 days 00:00:00.000000000	13
2566	N'Sync	Bye Bye Bye	Rock	3.15	2000-01-29	2000-04-15	9	5	77 days 00:00:00.000000000	46
2567	Eminem	The Real Slim Shady	Rap	4.42	2000-05-06	2000-06-24	9	5	49 days 00:00:00.000000000	46
2568	Pink	Most Girls	Rock	4.06	2000-08-12	2000-11-25	9	12	105 days 00:00:00.000000000	39
2569	Mumba, Samantha	Gotta Tell You	Rock	3.19	2000-09-09	2000-12-09	9	9	91 days 00:00:00.000000000	42
2570	Blaque	Bring It All To Me	Pop	3.46	1999-10-23	2000-01-22	9	11	91 days 00:00:00.000000000	40
2571	"Elliott, Missy ""Misdemeanor"""	Hot Boyz	Rap	3.51	1999-11-27	2000-01-08	9	7	42 days 00:00:00.000000000	44
2572	Gray, Macy	I Try	Rock	3.52	2000-02-19	2000-05-20	9	8	91 days 00:00:00.000000000	43
2573	N'Sync	This I Promise You	Rock	4.23	2000-09-30	2000-12-02	9	6	63 days 00:00:00.000000000	45
2574	Ruff Endz	No More	Rock	3.56	2000-07-01	2000-09-02	9	7	63 days 00:00:00.000000000	44
2575	Backstreet Boys, The	Show Me The Meaning Of Being Lonely	Rock	3.54	2000-01-01	2000-03-18	9	12	77 days 00:00:00.000000000	39
2576	Nine Days	Absolutely (Story Of A Girl)	Rock	3.09	2000-05-06	2000-07-22	9	17	77 days 00:00:00.000000000	34
2577	Dion, Celine	That's The Way It Is	Rock	4.03	1999-11-13	2000-03-04	9	17	112 days 00:00:00.000000000	34
2578	Blink-182	All The Small Things	Rock	2.52	1999-12-04	2000-02-19	9	26	77 days 00:00:00.000000000	25
2579	Eiffel 65	Blue (Da Ba Dee)	Electronica	3.29	1999-12-11	2000-01-29	9	7	49 days 00:00:00.000000000	44
2580	Badu, Erkyah	Bag Lady	Rock	5.03	2000-08-19	2000-10-07	9	9	49 days 00:00:00.000000000	42
2581	Pink	There U Go	Rock	3.23	2000-03-04	2000-04-08	9	14	35 days 00:00:00.000000000	37
2583	Nelly	(Hot S**t) Country Grammar	Rap	4.17	2000-04-29	2000-09-16	9	30	140 days 00:00:00.000000000	21
2584	Next	Wifey	Rock	4.03	2000-05-27	2000-09-09	9	25	105 days 00:00:00.000000000	26
2586	Sonique	It Feels So Good	Rock	3.48	2000-01-22	2000-04-22	9	14	91 days 00:00:00.000000000	37
2587	Spears, Britney	Oops!.. I Did It Again	Rock	3.3	2000-04-22	2000-06-10	9	9	49 days 00:00:00.000000000	42
2588	Backstreet Boys, The	Shape Of My Heart	Rock	3.49	2000-10-14	2000-12-02	9	10	49 days 00:00:00.000000000	41
2589	Everclear	Wonderful	Rock	4.3	2000-07-08	2000-09-30	9	22	84 days 00:00:00.000000000	29
2590	Ja Rule	Between Me And You	Rap	4.05	2000-09-16	2000-11-18	9	14	63 days 00:00:00.000000000	37
2592	Smash Mouth	Then The Morning Comes	Rock	3.04	1999-10-30	2000-01-29	9	14	91 days 00:00:00.000000000	37
2593	Jay-Z	I Just Wanna Love U (Give It 2 Me)	Rap	3.5	2000-10-28	2000-12-30	9	13	63 days 00:00:00.000000000	38
2594	Jagged Edge	Let's Get Married	Rock	4.23	2000-05-06	2000-07-29	9	28	84 days 00:00:00.000000000	23
2595	Filter	Take A Picture	Rock	4.23	1999-11-27	2000-02-05	9	21	70 days 00:00:00.000000000	30
2596	Martin, Ricky	She Bangs	Latin	4.02	2000-10-07	2000-12-02	9	12	56 days 00:00:00.000000000	39
2597	Mystikal	Shake Ya Ass	Rap	4.46	2000-08-12	2000-10-28	9	15	77 days 00:00:00.000000000	36
2598	BBMak	Back Here	Rock	3.35	2000-04-29	2000-07-29	9	18	91 days 00:00:00.000000000	33
2599	Spears, Britney	From The Bottom Of My Broken Heart	Rock	4.3	2000-01-29	2000-02-26	9	33	28 days 00:00:00.000000000	18
2600	Third Eye Blind	Never Let You Go	Rock	3.57	2000-01-22	2000-04-01	9	19	70 days 00:00:00.000000000	32
2601	Red Hot Chili Peppers	Otherside	Rock	4.13	2000-02-12	2000-05-27	9	32	105 days 00:00:00.000000000	19
2602	Profyle	Liar	R&B	3.57	2000-09-16	2000-10-28	9	24	42 days 00:00:00.000000000	27
2603	Barenaked Ladies	Pinch Me	Rock	3.46	2000-09-09	2000-11-25	9	26	77 days 00:00:00.000000000	25
2604	Jagged Edge	He Can't Love U	Rock	3.3	1999-12-11	2000-01-08	9	18	28 days 00:00:00.000000000	33
2606	Sting	Desert Rose	Rock	3.52	2000-05-13	2000-08-26	9	24	105 days 00:00:00.000000000	27
2607	Jay-Z	Big Pimpin'	Rap	3.55	2000-04-22	2000-07-08	9	20	77 days 00:00:00.000000000	31
2608	Kid Rock	Only God Knows Why	Rock	5.27	2000-02-19	2000-04-15	9	19	56 days 00:00:00.000000000	32
2609	Foo Fighters	Learn To Fly	Rock	3.55	1999-10-16	2000-01-22	9	30	98 days 00:00:00.000000000	21
2610	Dixie Chicks, The	Goodbye Earl	Country	4.19	2000-03-18	2000-05-06	9	38	49 days 00:00:00.000000000	13
2612	Lil Bow Wow	Bounce With Me	Rap	3.22	2000-08-19	2000-09-16	9	22	28 days 00:00:00.000000000	29
2613	Westlife	Swear It Again	Rock	4.07	2000-04-01	2000-07-01	9	37	91 days 00:00:00.000000000	14
2614	Train	Meet Virginia	Rock	3.55	1999-10-09	2000-01-22	9	26	105 days 00:00:00.000000000	25
2615	Thomas, Carl	I Wish	Rock	3.5	2000-03-25	2000-05-13	9	22	49 days 00:00:00.000000000	29
2617	Simpson, Jessica	I Think I'm In Love With You	Pop	3.32	2000-07-01	2000-08-12	9	21	42 days 00:00:00.000000000	30
2618	Ludacris	What's Your Fantasy	Rap	4.16	2000-09-30	2000-12-16	9	30	77 days 00:00:00.000000000	21
2619	Lil' Zane	Callin' Me	Rap	3.43	2000-07-29	2000-09-02	9	45	35 days 00:00:00.000000000	6
2621	SoulDecision	Faded	Rock	3.25	2000-07-08	2000-09-09	9	25	63 days 00:00:00.000000000	26
2622	Brock, Chad	Yes!	Country	3.22	2000-04-08	2000-07-01	9	32	84 days 00:00:00.000000000	19
2623	Martin, Ricky	Shake Your Bon-Bon	Latin	3.08	1999-11-20	2000-02-12	9	47	84 days 00:00:00.000000000	4
2624	Vertical Horizon	You're A God	Rock	3.45	2000-08-26	2000-11-04	9	28	70 days 00:00:00.000000000	23
2625	Avant	Separated	Rock	4.13	2000-04-29	2000-05-20	9	32	21 days 00:00:00.000000000	19
2626	Rimes, LeAnn	Big Deal	Country	3.03	1999-10-16	2000-01-01	9	29	77 days 00:00:00.000000000	22
2627	IMx	Stay The Night	Rap	3.37	1999-10-09	2000-01-08	9	34	91 days 00:00:00.000000000	17
2628	Dr. Dre	The Next Episode	Rap	2.38	2000-05-27	2000-07-29	9	26	63 days 00:00:00.000000000	25
2630	Savage Garden	Crash And Burn	Rock	4.41	2000-04-08	2000-05-27	9	24	49 days 00:00:00.000000000	27
2631	Kandi	Don't Think I'm Not	Rock	3.5	2000-08-05	2000-10-07	9	28	63 days 00:00:00.000000000	23
2632	Sammie	I Like It	Rock	4.09	2000-01-29	2000-04-15	9	37	77 days 00:00:00.000000000	14
2633	Goo Goo Dolls	Broadway	Rock	3.54	2000-04-22	2000-07-01	9	29	70 days 00:00:00.000000000	22
2634	Moore, Mandy	I Wanna Be With You	Pop	4.12	2000-06-17	2000-08-12	9	24	56 days 00:00:00.000000000	27
2635	Dr. Dre	Forgot About Dre	Rap	3.42	2000-01-22	2000-03-25	9	26	63 days 00:00:00.000000000	25
2636	D'Angelo	Untitled (How Does It Feel)	R&B	7.1	2000-01-22	2000-02-19	9	31	28 days 00:00:00.000000000	20
2637	Messina, Jo Dee	That's The Way	Country	3.17	2000-06-24	2000-08-26	9	27	63 days 00:00:00.000000000	24
2638	Avant	My First Love	Rock	4.28	2000-11-04	2000-12-16	9	26	42 days 00:00:00.000000000	25
2640	Da Brat	What'Chu Like	Rap	3.57	2000-06-03	2000-08-12	9	28	70 days 00:00:00.000000000	23
2641	DMX	Party Up (Up In Here)	Rap	3.45	2000-02-26	2000-04-22	9	27	56 days 00:00:00.000000000	24
2642	Dixie Chicks, The	Cowboy Take Me Away	Country	4.51	1999-11-27	2000-01-29	9	31	63 days 00:00:00.000000000	20
2643	McGraw, Tim	My Next Thirty Years	Country	3.37	2000-10-21	2000-12-16	9	27	56 days 00:00:00.000000000	24
2645	Alice Deejay	Better Off Alone	Electronica	6.5	2000-04-08	2000-06-03	9	27	56 days 00:00:00.000000000	24
2646	Hoku	Another Dumb Blonde	Pop	3.47	2000-02-19	2000-04-08	9	36	49 days 00:00:00.000000000	15
2648	Counting Crows	Hanginaround	Rock	4.07	1999-11-06	2000-01-29	9	35	84 days 00:00:00.000000000	16
2649	Mary Mary	Shackles (Praise You)	Rock	3.12	2000-03-25	2000-05-13	9	33	49 days 00:00:00.000000000	18
2651	McGraw, Tim	My Best Friend	Country	4.33	1999-11-27	2000-01-29	9	38	63 days 00:00:00.000000000	13
2652	Sugar Ray	Falls Apart	Rock	4.15	2000-01-15	2000-02-19	9	32	35 days 00:00:00.000000000	19
2654	Jones, Donell	Where I Wanna Be	Rock	6.22	2000-04-22	2000-07-08	9	38	77 days 00:00:00.000000000	13
2655	Paisley, Brad	We Danced	Country	3.45	2000-10-14	2000-12-16	9	34	63 days 00:00:00.000000000	17
2656	Lonestar	What About Now	Country	3.3	2000-06-10	2000-08-19	9	37	70 days 00:00:00.000000000	14
2658	Keith, Toby	How Do You Like Me Now?!	Country	3.29	2000-01-29	2000-04-08	9	36	70 days 00:00:00.000000000	15
2659	Strait, George	The Best Day	Country	3.24	2000-01-29	2000-04-22	9	39	84 days 00:00:00.000000000	12
2660	Dixie Chicks, The	Without You	Country	3.32	2000-10-07	2000-12-23	9	41	77 days 00:00:00.000000000	10
2661	Musiq	Just Friends (Sunny)	Rap	4.02	2000-10-14	2000-12-30	9	41	77 days 00:00:00.000000000	10
2662	McEntire, Reba	What Do You Say	Country	3.26	1999-10-30	2000-01-29	9	46	91 days 00:00:00.000000000	5
2663	Braxton, Toni	Just Be A Man About It	Rock	4.1	2000-07-29	2000-09-02	9	34	35 days 00:00:00.000000000	17
2664	Iglesias, Enrique	Rhythm Divine	Latin	7.35	1999-12-04	2000-01-22	9	38	49 days 00:00:00.000000000	13
2665	Fabian, Lara	I Will Love Again	Pop	3.43	2000-06-10	2000-08-12	9	36	63 days 00:00:00.000000000	15
2666	Bon Jovi	It's My Life	Rock	3.44	2000-08-12	2000-09-30	9	34	49 days 00:00:00.000000000	17
2667	Evans, Sara	Born To Fly	Country	5.36	2000-10-21	2000-12-30	9	36	70 days 00:00:00.000000000	15
2668	Chesney, Kenny	I Lost It	Country	3.54	2000-10-21	2000-12-23	9	40	63 days 00:00:00.000000000	11
2669	J-Shin	One Night Stand	R&B	4.34	1999-12-25	2000-02-26	9	38	63 days 00:00:00.000000000	13
2670	Eve	Love Is Blind	Rap	3.51	2000-01-08	2000-02-19	9	42	42 days 00:00:00.000000000	9
2671	Aaliyah	I Don't Wanna	Rock	4.15	2000-01-29	2000-03-04	9	38	35 days 00:00:00.000000000	13
2672	Montgomery, John Michael	The Little Girl	Country	3.52	2000-09-09	2000-10-28	9	35	49 days 00:00:00.000000000	16
2674	Vassar, Phil	Just Another Day In Paradise	Country	3.54	2000-09-30	2000-12-02	9	36	63 days 00:00:00.000000000	15
2675	Ice Cube	You Can Do It	Rap	4.2	1999-12-04	2000-01-15	9	45	42 days 00:00:00.000000000	6
2676	Wills, Mark	Back At One	Country	4.0	2000-01-15	2000-02-26	9	42	42 days 00:00:00.000000000	9
2677	Lucy Pearl	Dance Tonight	R&B	3.45	2000-05-20	2000-07-29	9	40	70 days 00:00:00.000000000	11
2678	Jackson, Alan	It Must Be Love	Country	2.53	2000-06-24	2000-09-02	9	39	70 days 00:00:00.000000000	12
2681	Jean, Wyclef	911	Rap	4.0	2000-10-07	2000-11-25	9	42	49 days 00:00:00.000000000	9
2683	Vitamin C	Graduation (Friends Forever)	Rock	4.23	2000-04-15	2000-06-10	9	38	56 days 00:00:00.000000000	13
2684	Gilman, Billy	One Voice	Country	4.07	2000-06-17	2000-09-02	9	44	77 days 00:00:00.000000000	7
2685	Lonestar	Smile	Country	3.33	1999-12-18	2000-02-12	9	39	56 days 00:00:00.000000000	12
2686	Rogers, Kenny	Buy Me A Rose	Country	3.46	2000-03-11	2000-05-06	9	40	56 days 00:00:00.000000000	11
2687	Lawrence, Tracy	Lessons Learned	Country	2.55	2000-01-29	2000-04-08	9	44	70 days 00:00:00.000000000	7
2688	Strait, George	Go On	Country	3.48	2000-08-26	2000-10-28	9	44	63 days 00:00:00.000000000	7
2689	Sisqo	Got To Get It	Rock	3.52	1999-11-20	2000-01-22	9	49	63 days 00:00:00.000000000	2
2691	Walker, Clay	The Chain Of Love	Country	5.03	2000-04-15	2000-06-10	9	40	56 days 00:00:00.000000000	11
2692	McBride, Martina	Love's The Only House	Country	5.13	2000-02-05	2000-04-15	9	45	70 days 00:00:00.000000000	6
2694	Tippin, Aaron	Kiss This	Country	2.53	2000-08-26	2000-10-21	9	42	56 days 00:00:00.000000000	9
2695	SheDaisy	I Will.. But	Country	3.4	2000-07-15	2000-09-16	9	45	63 days 00:00:00.000000000	6
2697	Black Rob	Whoa!	Rap	4.04	2000-03-04	2000-04-15	9	47	42 days 00:00:00.000000000	4
2699	Black, Clint	Been There	Country	5.28	2000-02-19	2000-04-15	9	44	56 days 00:00:00.000000000	7
2701	Vassar, Phil	Carlene	Country	4.07	2000-03-04	2000-04-22	9	45	49 days 00:00:00.000000000	6
2702	Jackson, Alan	www.memory	Country	2.36	2000-11-04	2000-12-23	9	49	49 days 00:00:00.000000000	2
2706	Thomas, Carl	Emotional	Rock	4.31	2000-11-25	2000-12-30	9	49	35 days 00:00:00.000000000	2
2707	Ginuwine	None Of Ur Friends Business	Rock	4.12	1999-12-11	2000-01-22	9	48	42 days 00:00:00.000000000	3
2853	Destiny's Child	Independent Women Part I	Rock	3.38	2000-09-23	2000-11-18	10	1	56 days 00:00:00.000000000	50
2854	Santana	Maria, Maria	Rock	4.18	2000-02-12	2000-04-08	10	1	56 days 00:00:00.000000000	50
2855	Savage Garden	I Knew I Loved You	Rock	4.07	1999-10-23	2000-01-29	10	4	98 days 00:00:00.000000000	47
2856	Madonna	Music	Rock	3.45	2000-08-12	2000-09-16	10	2	35 days 00:00:00.000000000	49
2857	Aguilera, Christina	Come On Over Baby (All I Want Is You)	Rock	3.38	2000-08-05	2000-10-14	10	11	70 days 00:00:00.000000000	40
2858	Janet	Doesn't Really Matter	Rock	4.17	2000-06-17	2000-08-26	10	5	70 days 00:00:00.000000000	46
2859	Destiny's Child	Say My Name	Rock	4.31	1999-12-25	2000-03-18	10	18	84 days 00:00:00.000000000	33
2860	Iglesias, Enrique	Be With You	Latin	3.36	2000-04-01	2000-06-24	10	6	84 days 00:00:00.000000000	45
2861	Sisqo	Incomplete	Rock	3.52	2000-06-24	2000-08-12	10	2	49 days 00:00:00.000000000	49
2862	Lonestar	Amazed	Country	4.25	1999-06-05	2000-03-04	10	27	273 days 00:00:00.000000000	24
2863	N'Sync	It's Gonna Be Me	Rock	3.1	2000-05-06	2000-07-29	10	7	84 days 00:00:00.000000000	44
2864	Aguilera, Christina	What A Girl Wants	Rock	3.18	1999-11-27	2000-01-15	10	2	49 days 00:00:00.000000000	49
2865	Vertical Horizon	Everything You Want	Rock	4.01	2000-01-22	2000-07-15	10	19	175 days 00:00:00.000000000	32
2867	Aaliyah	Try Again	Rock	4.03	2000-03-18	2000-06-17	10	10	91 days 00:00:00.000000000	41
2868	matchbox twenty	Bent	Rock	4.12	2000-04-29	2000-07-22	10	12	84 days 00:00:00.000000000	39
2869	Carey, Mariah	Thank God I Found You	Rock	4.14	1999-12-11	2000-02-19	10	2	70 days 00:00:00.000000000	49
2870	Hill, Faith	Breathe	Rap	4.04	1999-11-06	2000-04-22	10	43	168 days 00:00:00.000000000	8
2871	Mya	Case Of The Ex (Whatcha Gonna Do)	Rock	3.5	2000-08-19	2000-12-02	10	17	105 days 00:00:00.000000000	34
2872	Dream	He Loves U Not	Rock	3.43	2000-09-30	2000-12-30	10	18	91 days 00:00:00.000000000	33
2873	Braxton, Toni	He Wasn't Man Enough	Rock	4.21	2000-03-18	2000-05-06	10	4	49 days 00:00:00.000000000	47
2874	Anthony, Marc	You Sang To Me	Latin	3.5	2000-02-26	2000-06-03	10	13	98 days 00:00:00.000000000	38
2875	98¡	Give Me Just One Night (Una Noche)	Rock	3.24	2000-08-19	2000-09-30	10	6	42 days 00:00:00.000000000	45
2876	Destiny's Child	Jumpin' Jumpin'	Rock	3.48	2000-05-13	2000-08-19	10	18	98 days 00:00:00.000000000	33
2878	Sisqo	Thong Song	Rock	4.05	2000-01-29	2000-05-20	10	10	112 days 00:00:00.000000000	41
2879	Aguilera, Christina	I Turn To You	Rock	4.0	2000-04-15	2000-07-01	10	17	77 days 00:00:00.000000000	34
2880	Houston, Whitney	My Love Is Your Love	Rock	4.16	1999-09-04	2000-01-08	10	7	126 days 00:00:00.000000000	44
2881	Joe	I Wanna Know	Rock	4.57	2000-01-01	2000-07-01	10	27	182 days 00:00:00.000000000	24
2882	Jordan, Montell	Get It On.. Tonite	Rap	4.34	1999-10-23	2000-02-12	10	24	112 days 00:00:00.000000000	27
2883	N'Sync	Bye Bye Bye	Rock	3.15	2000-01-29	2000-04-15	10	5	77 days 00:00:00.000000000	46
2884	Eminem	The Real Slim Shady	Rap	4.42	2000-05-06	2000-06-24	10	4	49 days 00:00:00.000000000	47
2885	Pink	Most Girls	Rock	4.06	2000-08-12	2000-11-25	10	8	105 days 00:00:00.000000000	43
2886	Mumba, Samantha	Gotta Tell You	Rock	3.19	2000-09-09	2000-12-09	10	8	91 days 00:00:00.000000000	43
2887	Blaque	Bring It All To Me	Pop	3.46	1999-10-23	2000-01-22	10	9	91 days 00:00:00.000000000	42
2888	"Elliott, Missy ""Misdemeanor"""	Hot Boyz	Rap	3.51	1999-11-27	2000-01-08	10	7	42 days 00:00:00.000000000	44
2889	Gray, Macy	I Try	Rock	3.52	2000-02-19	2000-05-20	10	7	91 days 00:00:00.000000000	44
2890	N'Sync	This I Promise You	Rock	4.23	2000-09-30	2000-12-02	10	5	63 days 00:00:00.000000000	46
2891	Ruff Endz	No More	Rock	3.56	2000-07-01	2000-09-02	10	5	63 days 00:00:00.000000000	46
2892	Backstreet Boys, The	Show Me The Meaning Of Being Lonely	Rock	3.54	2000-01-01	2000-03-18	10	9	77 days 00:00:00.000000000	42
2893	Nine Days	Absolutely (Story Of A Girl)	Rock	3.09	2000-05-06	2000-07-22	10	13	77 days 00:00:00.000000000	38
2894	Dion, Celine	That's The Way It Is	Rock	4.03	1999-11-13	2000-03-04	10	14	112 days 00:00:00.000000000	37
2895	Blink-182	All The Small Things	Rock	2.52	1999-12-04	2000-02-19	10	15	77 days 00:00:00.000000000	36
2896	Eiffel 65	Blue (Da Ba Dee)	Electronica	3.29	1999-12-11	2000-01-29	10	9	49 days 00:00:00.000000000	42
2897	Badu, Erkyah	Bag Lady	Rock	5.03	2000-08-19	2000-10-07	10	9	49 days 00:00:00.000000000	42
2898	Pink	There U Go	Rock	3.23	2000-03-04	2000-04-08	10	15	35 days 00:00:00.000000000	36
2900	Nelly	(Hot S**t) Country Grammar	Rap	4.17	2000-04-29	2000-09-16	10	36	140 days 00:00:00.000000000	15
2901	Next	Wifey	Rock	4.03	2000-05-27	2000-09-09	10	24	105 days 00:00:00.000000000	27
2903	Sonique	It Feels So Good	Rock	3.48	2000-01-22	2000-04-22	10	12	91 days 00:00:00.000000000	39
2904	Spears, Britney	Oops!.. I Did It Again	Rock	3.3	2000-04-22	2000-06-10	10	10	49 days 00:00:00.000000000	41
2905	Backstreet Boys, The	Shape Of My Heart	Rock	3.49	2000-10-14	2000-12-02	10	12	49 days 00:00:00.000000000	39
2906	Everclear	Wonderful	Rock	4.3	2000-07-08	2000-09-30	10	25	84 days 00:00:00.000000000	26
2907	Ja Rule	Between Me And You	Rap	4.05	2000-09-16	2000-11-18	10	11	63 days 00:00:00.000000000	40
2909	Smash Mouth	Then The Morning Comes	Rock	3.04	1999-10-30	2000-01-29	10	14	91 days 00:00:00.000000000	37
2910	Jay-Z	I Just Wanna Love U (Give It 2 Me)	Rap	3.5	2000-10-28	2000-12-30	10	11	63 days 00:00:00.000000000	40
2911	Jagged Edge	Let's Get Married	Rock	4.23	2000-05-06	2000-07-29	10	26	84 days 00:00:00.000000000	25
